subject_type,subject_name,predicate,object_type,object_name,reason,evidence,confidence,source,subject_wikidata,object_wikidata
person,Louis Roeder,founded,company,Gebrüder Roeder,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107619489,http://www.wikidata.org/entity/Q1345305
person,Louis Roeder,founded,company,Gebrüder Roeder,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107619489,http://www.wikidata.org/entity/Q1345305
person,Louis Roeder,founded,company,Gebrüder Roeder,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107619489,http://www.wikidata.org/entity/Q1345305
person,Louis Roeder,founded,company,Gebrüder Roeder,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107619489,http://www.wikidata.org/entity/Q1345305
person,Louis Roeder,founded,company,Gebrüder Roeder,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107619489,http://www.wikidata.org/entity/Q1345305
person,Paul Chénereau,founded,company,Société Rochefortaise de Produits Alimentaires,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107637262,http://www.wikidata.org/entity/Q107222405
person,Christof Ruthof,founded,company,Schiffswerft Christof Ruthof,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107659040,http://www.wikidata.org/entity/Q2235333
person,Johann Heinrich Koenigsfeld,ceo_of,company,Schiffswerft Christof Ruthof,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107659386,http://www.wikidata.org/entity/Q2235333
person,Adolf Hummel,ceo_of,company,Schiffswerft Christof Ruthof,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107659467,http://www.wikidata.org/entity/Q2235333
person,Fritz Gehm,ceo_of,company,Schiffswerft Christof Ruthof,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107659522,http://www.wikidata.org/entity/Q2235333
person,Ludwig Fischler,ceo_of,company,Schiffswerft Christof Ruthof,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107659596,http://www.wikidata.org/entity/Q2235333
person,Hermann Sandvoß,founded,company,Samson AG,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107660032,http://www.wikidata.org/entity/Q2217705
person,Hermann Sandvoß,founded,company,Samson AG,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107660032,http://www.wikidata.org/entity/Q2217705
person,Hermann Sandvoß,founded,company,Samson AG,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107660032,http://www.wikidata.org/entity/Q2217705
person,Hermann Sandvoß,founded,company,Samson AG,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107660032,http://www.wikidata.org/entity/Q2217705
person,Wilhelm Siebert,founded,company,Platinschmelze G. Siebert,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107696484,http://www.wikidata.org/entity/Q107126012
person,Wilhelm Siebert,founded,company,Platinschmelze G. Siebert,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107696484,http://www.wikidata.org/entity/Q107126012
person,Wilhelm Siebert,founded,company,Platinschmelze G. Siebert,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107696484,http://www.wikidata.org/entity/Q107126012
person,Wilhelm Siebert,founded,company,Platinschmelze G. Siebert,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107696484,http://www.wikidata.org/entity/Q107126012
person,Hans Siebert,ceo_of,company,Platinschmelze G. Siebert,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107696625,http://www.wikidata.org/entity/Q107126012
person,Hans Siebert,ceo_of,company,Platinschmelze G. Siebert,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107696625,http://www.wikidata.org/entity/Q107126012
person,Hans Siebert,ceo_of,company,Platinschmelze G. Siebert,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107696625,http://www.wikidata.org/entity/Q107126012
person,Hans Siebert,ceo_of,company,Platinschmelze G. Siebert,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107696625,http://www.wikidata.org/entity/Q107126012
person,Thomas Menut,founded,company,Biotope,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107728834,http://www.wikidata.org/entity/Q48748963
person,Michel Geniez,founded,company,Biotope,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107729012,http://www.wikidata.org/entity/Q48748963
person,August Trapp,founded,company,Trapp und Münch,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107804915,http://www.wikidata.org/entity/Q107125573
person,August Trapp,founded,company,Trapp und Münch,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107804915,http://www.wikidata.org/entity/Q107125573
person,August Trapp,founded,company,Trapp und Münch,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107804915,http://www.wikidata.org/entity/Q107125573
person,August Trapp,founded,company,Trapp und Münch,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107804915,http://www.wikidata.org/entity/Q107125573
person,Theodor Münch,founded,company,Trapp und Münch,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107805136,http://www.wikidata.org/entity/Q107125573
person,Theodor Münch,founded,company,Trapp und Münch,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107805136,http://www.wikidata.org/entity/Q107125573
person,Theodor Münch,founded,company,Trapp und Münch,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107805136,http://www.wikidata.org/entity/Q107125573
person,Theodor Münch,founded,company,Trapp und Münch,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107805136,http://www.wikidata.org/entity/Q107125573
person,Peter Weil,founded,company,Torpedo-Factorie,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107809311,http://www.wikidata.org/entity/Q1473470
person,Peter Weil,founded,company,Torpedo-Factorie,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107809311,http://www.wikidata.org/entity/Q1473470
person,Peter Weil,founded,company,Torpedo-Factorie,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107809311,http://www.wikidata.org/entity/Q1473470
person,Peter Weil,founded,company,Torpedo-Factorie,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107809311,http://www.wikidata.org/entity/Q1473470
person,Peter Weil,founded,company,Torpedo-Factorie,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107809311,http://www.wikidata.org/entity/Q1473470
person,Peter Weil,founded,company,Torpedo-Factorie,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107809311,http://www.wikidata.org/entity/Q1473470
person,Peter Weil,founded,company,Torpedo-Factorie,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107809311,http://www.wikidata.org/entity/Q1473470
person,Peter Weil,founded,company,Torpedo-Factorie,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107809311,http://www.wikidata.org/entity/Q1473470
person,Heinrich Weil,founded,company,Torpedo-Factorie,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107809318,http://www.wikidata.org/entity/Q1473470
person,Heinrich Weil,founded,company,Torpedo-Factorie,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107809318,http://www.wikidata.org/entity/Q1473470
person,Heinrich Weil,founded,company,Torpedo-Factorie,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107809318,http://www.wikidata.org/entity/Q1473470
person,Heinrich Weil,founded,company,Torpedo-Factorie,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107809318,http://www.wikidata.org/entity/Q1473470
person,Heinrich Weil,founded,company,Torpedo-Factorie,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107809318,http://www.wikidata.org/entity/Q1473470
person,Heinrich Weil,founded,company,Torpedo-Factorie,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107809318,http://www.wikidata.org/entity/Q1473470
person,Heinrich Weil,founded,company,Torpedo-Factorie,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107809318,http://www.wikidata.org/entity/Q1473470
person,Heinrich Weil,founded,company,Torpedo-Factorie,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107809318,http://www.wikidata.org/entity/Q1473470
person,Franz Anton Karl Wittekind,founded,company,Frankfurter Maschinenbau,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107864538,http://www.wikidata.org/entity/Q59182422
person,Franz Anton Karl Wittekind,founded,company,Frankfurter Maschinenbau,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107864538,http://www.wikidata.org/entity/Q59182422
person,Franz Anton Karl Wittekind,founded,company,Frankfurter Maschinenbau,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107864538,http://www.wikidata.org/entity/Q59182422
person,Franz Anton Karl Wittekind,founded,company,Frankfurter Maschinenbau,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107864538,http://www.wikidata.org/entity/Q59182422
person,Franz Anton Karl Wittekind,founded,company,Frankfurter Maschinenbau,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107864538,http://www.wikidata.org/entity/Q59182422
person,Franz Anton Karl Wittekind,founded,company,Frankfurter Maschinenbau,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107864538,http://www.wikidata.org/entity/Q59182422
person,Franz Anton Karl Wittekind,founded,company,Frankfurter Maschinenbau,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107864538,http://www.wikidata.org/entity/Q59182422
